Origem/Destino;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;Ipanema;São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Jardim Carioca;19048;4109;2279;7349;1922;2131;2898;16535;2422;17831;0;22539;15051;2513;20390;20945;3162;14206;2882;20647;29642;22298;3176;24487;17405;14386;3743;4845;23831;23930;30392;22523;19788;27812;22453;24133;16213;20756;10505;29080;10518;23596;11328;32731;20022;28401;21821;54256;18549;15677;22910;35222;25959;26434;12917;15911;18277;43382;27294;25147;62906;30015;39709;19537;32509;13306;13317;20711;17110;15547;20410;23806;33005;17420;22552;32981;24535;18935;44780;55306;15499;17884;30364;14868;20134;15392;15708;51600;18671;15949;19804;16578;19482;18725;16930;20028;18365;17933;18685;16497;20134;16764;27937;29954;20022;21933;24742;17359;17969;18075;18395;26456;19344;20190;18289;21557;18931;23599;26876;22263;24250;26622;22842;57712;46994;29416;26715;35104;24844;29709;30091;67091;29190;36367;39757;23885;29193;24812;41817;25841;29897;23651;38580;26950;33185;26465;26830;33760;29634;62315;44751;28827;33200;57431;53694;18619;25161;20780;47236;35993;37431;38752;36290;56005
Pavuna;27687;28895;26687;22227;25882;24611;25429;8938;26824;6300;25106;0;9357;24548;8048;3926;27197;12785;26531;8313;6165;5278;26825;4829;10406;13845;27392;28494;8101;8201;9547;6167;7454;12083;7093;7363;16343;9545;19143;13351;19157;7999;16570;17001;10474;12672;9673;38526;12442;24315;9771;19493;14789;10704;21556;24550;10989;27652;11565;14916;47176;14285;23980;12249;16780;21944;19452;12919;12826;14970;16292;15174;17275;16842;16295;22040;14278;13920;29051;39577;24138;17306;16782;23507;28772;24030;24347;35870;17137;24588;28443;25217;18904;27364;25569;28667;24500;24068;27324;22632;26212;25402;18434;23199;28661;30571;33381;25997;26608;24210;27034;35095;27982;28829;26928;30196;27570;23377;35515;30902;32889;35261;31481;50175;40109;38054;35354;26085;33483;38348;26582;51362;37829;24484;29476;32524;37832;33451;34932;34480;38536;32290;47218;35589;41824;35104;35469;42398;38273;54778;37214;37465;41839;49894;45641;24754;9431;29419;31507;20264;21702;23023;20561;48469
Cordovil;18391;20512;18303;13844;17499;16228;17045;4509;18440;6227;16723;10449;0;16165;8074;9384;18814;2902;18148;8331;17326;8845;18441;12171;3064;4673;19008;20111;11515;11614;18076;10207;4882;15496;9590;11816;8158;4809;11877;16764;10733;13902;8385;20415;6466;16085;7841;41940;16391;9148;8143;22906;18202;14117;9489;13753;16119;31066;14978;18329;50590;17698;27393;17379;20193;11148;11267;16332;14952;13389;18252;18587;20689;15262;20394;25454;17691;16777;32464;42990;13341;15726;20195;13431;17976;14803;14054;39284;16513;15578;17646;14479;17324;17846;16273;19638;16315;15883;17806;14447;18027;14430;25780;26613;17864;19775;22584;16968;17579;16025;18012;25799;18960;19806;17906;21173;18541;19925;24718;18589;23593;25965;22185;55554;43522;29032;28087;29498;27002;29052;27933;54775;27032;27897;32889;25258;27035;26185;38345;27213;29240;25023;39952;28322;31027;27838;28202;35132;31006;60157;42593;30199;34572;55273;51536;16569;12845;20390;34920;23677;25115;26436;23974;53847
Jardim Guanabara;19022;6302;4973;7323;4616;2967;4484;16509;3395;17805;3242;22513;15024;0;20364;20919;3768;14180;3102;20621;29616;22272;3396;24461;17379;14360;3963;5065;23805;23904;30366;22497;19762;27786;22427;24106;16186;20730;10479;29054;10492;23570;11302;32705;19996;28375;21795;54230;18523;15650;22884;35196;25933;26407;12891;15885;18251;43356;27268;25121;62880;29988;39683;19511;32483;13279;13291;20685;17084;15521;20383;23780;32979;17394;22526;32955;24509;18909;44754;55280;15473;17858;30338;14842;20108;15365;15682;51574;18645;15923;19778;16552;19456;18699;16904;20002;18339;17907;18659;16471;20108;16737;27911;29928;19996;21906;24716;17332;17943;18049;18369;26430;19317;20164;18263;21531;18905;23572;26850;22237;24224;26596;22816;57686;46968;29390;26689;35078;24818;29683;30065;67065;29164;36341;39731;23859;29167;24786;41791;25815;29871;23625;38554;26924;33159;26439;26804;33734;29608;62289;44725;28801;33174;57405;53668;18593;25135;20754;47210;35967;37405;38726;36264;55979
Parada de Lucas;18523;20644;18435;13976;17631;16360;17177;5605;18572;6692;16855;10915;1309;16296;0;9849;18946;3735;18280;8796;17791;9310;18573;12636;3788;4795;19140;20243;11980;12080;18541;10672;7938;15961;10055;12282;8289;5533;12342;17230;10865;14368;8516;20880;8712;16551;10654;42405;16523;9280;8868;23371;18667;14583;9621;13885;16251;31531;15443;18795;51055;18164;27859;17511;20659;11279;11399;18685;15083;13521;18383;21780;21154;15394;20526;25919;18157;16909;32929;43455;13473;15858;20661;13563;18107;14934;14186;39749;16645;15710;17778;14611;17455;17978;16405;19770;16446;16014;17938;14579;18159;14562;25911;27078;17996;19906;22716;17100;17711;16157;18143;25930;19092;19938;18037;21305;18672;20057;24850;18721;23725;26097;22317;55686;43987;29164;22660;29964;27134;29184;28065;55241;27164;28363;33354;23957;27167;24883;38811;25912;29372;23722;38651;27021;31159;26537;26901;33831;29705;60289;42725;28898;33271;55405;51668;16701;13310;20522;35386;24143;25580;26902;24439;53979
Parque Colúmbia;23954;27857;25648;21189;24844;23573;24390;7900;25786;4188;24068;2761;6735;23510;5426;0;26159;9161;25493;5691;8329;3001;25786;3992;7785;10222;26353;27456;7264;7364;13825;5329;4832;11246;6256;6526;13721;6923;18105;12514;18119;7162;13948;16164;8581;11835;8836;37689;11605;14711;8934;18656;13952;9867;15052;19317;10152;26815;10727;14079;46339;13448;23143;11412;15943;16711;16830;12082;11989;14132;15455;14337;16438;16005;15458;21203;13441;13083;28214;38740;18904;16469;15945;18994;23539;22992;19617;35033;16300;21141;23209;20042;18067;23409;21836;25201;21878;21446;23369;20010;23591;19993;17597;22362;23427;25338;28147;22531;23142;21588;23575;31362;24523;25369;23469;26736;24104;25488;30281;24152;29156;31528;27748;49338;39272;34595;34316;25248;32445;34615;25745;50525;32595;23647;28639;31486;32598;32413;34095;33442;34803;31252;46180;34551;36590;34066;34430;41360;37235;53941;36377;36427;40801;49057;44804;22132;8594;25953;30670;19427;20865;22186;19724;47632
Praia da Bandeira;21461;3552;2578;8881;2221;4544;3630;18948;1000;20244;3196;24952;17463;4414;22803;23358;0;16619;2130;23060;32055;24711;1322;26900;19818;16799;1707;2871;26244;26343;32805;24936;22201;30225;24866;26545;18626;23169;12918;31493;12931;26009;13741;35144;22435;30814;24234;56669;20962;18089;25323;37635;28372;28847;15330;18324;20690;45795;29707;27560;65319;32428;42122;21950;34922;15718;15730;23124;19523;17960;22823;26219;35418;19833;24965;35394;26948;21348;47193;57719;17912;20297;32777;17281;22547;17805;18121;54013;21084;18362;22217;18991;21895;21138;19343;22441;20778;20346;21098;18910;22547;19177;30350;32367;22435;24346;27155;19771;20382;20488;20808;28869;21756;22603;20702;23970;21344;26012;29289;24676;26663;29035;25255;60125;49407;31829;29128;37517;27257;32122;32504;69504;31603;38780;42170;26298;31606;27225;44230;28254;32310;26064;40993;29363;35598;28878;29243;36173;32047;64728;47164;31240;35613;59844;56107;21032;27574;23193;49649;38406;39844;41165;38703;58418
Penha Circular;17203;19324;17115;12656;16311;15040;15858;4695;17253;6276;15535;10511;2897;14977;5925;9433;17626;0;16960;6194;17392;8906;17254;12237;1825;2269;17821;18923;11581;11680;18142;10273;5067;15562;7582;11883;4451;4256;10504;16831;9545;8725;4957;20481;5009;16151;6950;42006;9720;6287;8039;22972;18268;9531;8301;12566;8267;31132;15044;12601;50656;17765;27459;9527;20259;9960;10079;10701;13764;12201;17064;13744;20755;14074;19207;25520;11963;15590;32530;43056;12153;14538;14467;12243;16788;13615;12866;39350;15325;14390;16459;13291;16136;16658;15085;18450;15127;14695;16619;13260;16840;13243;24592;26679;16676;18587;21396;15781;16391;14837;16824;24611;17772;18619;16718;19986;17353;18737;23531;17402;22405;24777;20997;54366;43588;27844;21340;29565;25815;27864;26746;54842;25844;27964;32955;22637;25847;23564;38411;24593;28053;22403;37331;25702;29839;25217;25582;32511;28386;58969;41405;27578;31952;54085;50349;15381;12911;19202;34986;23744;25181;26502;24040;52660
Cacuia;20743;4957;3801;9045;3444;3827;4724;18231;2223;19526;2712;24235;16746;3246;22086;22641;2015;15902;0;22342;31337;23994;517;26182;19100;16081;861;1963;25526;25626;32087;24219;21484;29508;24148;25828;17908;22452;12200;30776;12214;25292;13024;34426;21718;30097;23517;55951;20245;17372;24606;36918;27655;28129;14613;17607;19973;45077;28989;26842;64601;31710;41405;21232;34205;15001;15013;22407;18805;17243;22105;25501;34700;19115;24248;34676;26231;20631;46475;57002;17195;19580;32060;16564;21829;17087;17404;53295;20366;17645;21500;18274;21177;20421;18625;21724;20060;19628;20381;18193;21829;18459;29633;31649;21717;23628;26438;19054;19665;19770;20091;28151;21039;21886;19985;23253;20626;25294;28572;23959;25946;28317;24537;59408;48690;31111;28411;36799;26540;31404;31787;68787;30885;38063;41452;25581;30889;26508;43513;27537;31593;25347;40275;28646;34880;28161;28525;35455;31330;64010;46447;30522;34896;59126;55390;20315;26856;22475;48932;37689;39126;40448;37986;57701
Irajá;22897;25019;22810;18351;22006;20735;21552;6503;22947;4957;21230;6378;5679;20671;4370;6443;23321;5131;22654;0;15588;5371;22948;7609;4760;9165;23515;24618;9777;9876;16338;8469;1859;13758;2439;4775;7005;2605;16712;15027;15240;3582;12891;18677;4084;8374;3462;40202;6231;11706;3520;21168;8895;5012;13996;7944;4779;29328;5471;8082;48852;15961;25655;6038;11636;10335;15774;7213;6615;8759;9458;8339;11099;10632;9460;23716;7444;7710;30726;41252;11486;11096;9948;12626;13634;19309;18561;37546;10926;11763;13305;13538;12693;22353;20779;24145;12797;14167;22313;18954;13346;18937;11600;24875;13522;15433;18242;21475;22086;20532;22518;30305;23467;24313;22412;16677;23047;17166;20376;15793;28100;30472;26691;51212;41784;24755;27035;27761;31509;33558;23592;53038;22690;26160;31151;30093;22693;31020;36607;32049;33747;29859;38546;33158;26685;32673;33037;39967;35842;55815;38251;35034;39408;50931;47194;21076;11107;24896;33182;21940;23377;24698;22236;49506
Anchieta;31891;33311;31103;26643;30299;29028;29845;13354;31240;10716;29522;6943;14679;28964;13368;8342;31613;17110;30947;11493;0;10666;31241;5223;15728;18171;31808;32910;7987;4462;3538;6295;11870;3127;10787;8289;21658;13961;23560;6408;23573;10375;21885;11109;14168;8059;13367;32634;16136;22649;13688;13601;8797;10590;22989;17849;14684;21760;11450;10226;41284;8294;18088;14455;10788;24648;24767;12805;16520;18664;16178;15059;11284;20536;16180;16148;14164;16203;23159;33685;21390;21000;13699;26931;18156;28447;28763;29978;18803;21668;17309;27979;20117;31346;29773;33138;29815;29383;31307;27948;21417;27931;20912;17307;23427;25338;22880;30469;31079;29525;31450;39299;32398;33245;31344;34612;32041;27071;20824;25697;37093;39465;35685;44283;34217;42471;39770;20193;37899;42552;20690;45470;30872;18592;23584;36940;28721;37867;29040;38896;42740;36706;40507;40005;28646;39520;39885;46815;42689;48886;31322;41882;46255;44002;39749;30069;6071;33890;25615;14372;15810;17131;14669;42577
Acari;24522;26643;24434;19975;23630;22359;23176;8126;24571;6580;22854;2844;7302;22296;5999;2909;24945;9741;24279;4115;8412;0;24572;4075;8351;10802;25139;26242;7348;7448;13909;5413;5297;11330;6340;6610;14289;7838;18349;12598;16864;7246;14516;16248;9721;11919;8919;37773;11689;15279;9017;18739;14035;9951;15620;19884;10236;26899;10811;14163;46423;13532;23227;11496;16027;17279;17398;12166;12073;14216;15539;14420;16522;16089;15541;21287;13525;13167;28297;38824;19472;16553;16029;19562;24107;20934;20185;35117;16384;17220;23777;20610;18151;23977;22404;25769;22446;22014;23937;20578;24158;20561;17681;22446;23995;25906;28715;23099;23710;22156;24143;31930;25091;25937;24037;27304;24672;22624;30849;24720;29724;32096;28316;49422;39355;35163;28659;25332;33133;35183;25829;50609;33163;23731;28722;29956;33166;30883;34179;31912;35371;29722;44650;33020;37158;32536;32900;39830;35704;54025;36461;34897;39270;49141;44888;22700;8678;26521;30754;19511;20948;22270;19807;47715
Pitangueiras;21037;4440;3613;9338;3256;4120;4666;18524;2035;19820;3005;24528;17040;3540;22379;22935;1498;16195;517;22636;31631;24287;0;26476;19394;16375;1198;2362;25820;25919;32381;24512;21778;29801;24442;26122;18202;22745;12494;31070;12507;25585;13318;34720;22011;30390;23811;56245;20538;17666;24900;37211;27949;28423;14906;17901;20266;45371;29283;27136;64895;32004;41698;21526;34498;15295;15306;22700;19099;17536;22399;25795;34994;19409;24541;34970;26524;20924;46769;57295;17488;19873;32353;16857;22123;17381;17698;53589;20660;17939;21793;18567;21471;20714;18919;22018;20354;19922;20674;18486;22123;18753;29927;31943;22011;23922;26731;19348;19958;20064;20384;28445;21333;22179;20278;23546;20920;25588;28865;24252;26239;28611;24831;59701;48983;31405;28704;37093;26833;31698;32081;69081;31179;38356;41746;25875;31182;26801;43806;27830;31887;25640;40569;28939;35174;28455;28819;35749;31623;64304;46740;30816;35189;59420;55683;20608;27150;22769;49225;37983;39420;40741;38279;57995
